"division","Familie","species_GermanSL","forest","ind_L","ind_T","ind_K","ind_F","ind_R","ind_N","sub_soil","sub_rock","sub_wood","sub_bark","hemeroby","growth_form","stems","shoot_length","life_form","life_strat","life_strat2","protonema","hyalin_hairp","dominants","dist_gamet","dist_gamet2","seta_length","capsule_pos","capsule_peris","spores","ornament","fruit_freq","fruit_seas","veg_tub","veg_gem","veg_bulb","veg_bran","veg_leav"
"Bryophyta","Plagiotheciaceae","Plagiothecium platyphyllum","M1.1","Ind","3","Ind","7","4",5,1,1,0,0,2,"P","procumbent to erect",8.5,"turf","p","c",0,0,0,"Monoicous","Autoicous","3","inclined",1,12,"papillose","frequent","summer",0,0,0,0,0
"Bryophyta","Plagiotheciaceae","Plagiothecium succulentum","M1.1","5","2","4","6","2",5,1,1,1,1,4,"P","procumbent to ascending",0.45,"turf","p","c",0,0,0,"Dioicous or Monoicous","Autoicous","3","inclined",1,13,"papillose","occasional","summer",0,1,0,0,0
"Bryophyta","Plagiotheciaceae","Plagiothecium undulatum","M1.1","4","3","4","6","1",2,1,1,1,0,3,"P","procumbent",10,"turf","p","c",0,0,0,"Dioicous","","3","inclined",1,12.5,"","rare","spring to summer",0,0,0,0,0
"Bryophyta","Plagiotheciaceae","Pseudotaxiphyllum elegans","M1.1","4","4","4","5","4",4,1,1,1,0,3,"P","procumbent",3,"turf","c","p",0,0,0,"Dioicous","","3","inclined",1,12,"","very rare","spring to summer",0,0,0,1,0
"Bryophyta","Polytrichaceae","Atrichum tenellum","M2.2","6","3","6","6","4",3,1,0,0,0,3,"O","procumbent",15,"turf","s","p",0,0,0,"Dioicous","","3","inclined",1,22.5,"","rare","summer to winter",1,0,0,0,0
"Bryophyta","Polytrichaceae","Atrichum undulatum","M2.1","Ind","Ind","Ind","Ind","Ind",5,1,1,1,0,5,"O","procumbent",7,"turf","s","p",0,0,0,"Monoicous","Autoicous","2 \ 3","inclined",1,20,"","common","winter",1,0,0,0,0
"Bryophyta","Polytrichaceae","Atrichum undulatum var. gracilisetum","M1.2","6","2","6","6","4",5,1,1,0,0,3,"O","procumbent",7,"turf","c","",0,NA,0,"Monoicous","Paroicous","2","inclined",1,20,"","common","winter",0,0,0,0,0
"Bryophyta","Polytrichaceae","Oligotrichum hercynicum","M2.1","7","5","6","4","2",1,1,0,0,0,5,"O","procumbent",4.75,"turf","c","p",0,0,0,"Dioicous","","2 \ 3","erect to inclined",1,13.5,"","occasional","spring",0,0,0,0,0
"Bryophyta","Polytrichaceae","Pogonatum aloides","M1.2","4","3","5","6","3",3,1,1,0,0,4,"O","ascending",2,"turf","c","p",0,0,0,"Dioicous","","3","erect to inclined",1,10,"flat","common","autumn to spring",0,0,0,0,0
"Bryophyta","Polytrichaceae","Pogonatum nanum","M2.1","7","5","4","4","2",2,1,0,0,0,3,"O","erect",1,"turf","c","",0,0,0,"Dioicous","","2 \ 3","erect to inclined",1,15.5,"papillose","common","winter to spring",0,0,0,0,0
"Bryophyta","Polytrichaceae","Pogonatum urnigerum","M2.1","8","2","6","6","2",1,1,1,0,0,4,"O","ascending",8.5,"turf","c","",0,0,0,"Dioicous","","2 \ 3","erect to inclined",1,12,"papillose","common","autumn to winter",0,0,0,0,1
"Bryophyta","Polytrichaceae","Polytrichum alpinum","M2.1","7","1","6","6","2",2,1,1,0,0,2,"O","erect",10,"turf","p","c",0,0,0,"Dioicous","","3","erect to inclined",1,19,"papillose","common","autumn",0,0,0,0,0
"Bryophyta","Polytrichaceae","Polytrichum commune","M2.1","Ind","Ind","Ind","Ind","Ind",2,1,0,0,0,3,"O","erect",2,"turf","p","c",0,0,0,"Dioicous","","4","erect to inclined",1,10,"flat","frequent","summer",0,0,0,0,0
"Bryophyta","Polytrichaceae","Polytrichum commune var. perigoniale","M2.2","8","2","6","6","1",2,1,1,0,0,NA,"O","erect",6,"turf","","",0,NA,0,"Dioicous","","4","erect to inclined",1,10,"","frequent","summer",0,0,0,0,0
"Bryophyta","Polytrichaceae","Polytrichum formosum","M2.1","4","2","5","6","2",3,1,1,1,0,3,"O","erect",15,"turf","p","c",0,0,0,"Dioicous","","3","erect to inclined",1,14,"papillose","frequent","summer",0,0,0,0,0
"Bryophyta","Polytrichaceae","Polytrichum juniperinum","M2.2","8","2","Ind","4","3",2,1,1,1,0,5,"O","erect",5.5,"turf","p","s",0,0,0,"Dioicous","","2 \ 3","erect to inclined",1,9.5,"flat","common","summer",0,0,0,0,0
"Bryophyta","Polytrichaceae","Polytrichum longisetum","M2.2","8","2","6","7","2",3,1,0,1,0,4,"O","erect",5.75,"turf","p","c",0,0,0,"Dioicous","","2 \ 3","erect to inclined",1,23,"papillose","common","summer",0,0,0,0,0
"Bryophyta","Polytrichaceae","Polytrichum pallidisetum","M2.1","7","3","7","7","2",NA,1,1,1,0,3,"O","erect",10,"turf","s","p",0,0,0,"Dioicous","","3","erect to inclined",1,12,"papillose","","summer to autumn",0,0,0,0,0
"Bryophyta","Polytrichaceae","Polytrichum piliferum","M2.2","9","2","5","2","2",1,1,1,0,0,5,"O","erect",0.75,"turf","s","p",0,1,0,"Dioicous","","2 \ 3","inclined",1,13.5,"flat","common","summer",0,0,0,0,0
"Bryophyta","Polytrichaceae","Polytrichum strictum","M2.1","8","2","6","6","1",1,1,0,1,0,3,"O","erect",4.5,"mat","p","c",0,0,0,"Dioicous","","3","erect to inclined",1,15.5,"flat","occasional","summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Acaulon muticum","M2.2","9","5","5","7","5",4,1,0,0,0,6,"O","erect",0.2,"annual","a","",0,0,0,"Dioicous or Monoicous","Autoicous","1","erect",0,40,"papillose","common","autumn to spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Anoectangium aestivum","M1.2","5","2","5","7","6",2,0,1,0,0,2,"O","erect",6,"cushion","c","p",0,0,0,"Dioicous","","2","erect to inclined",1,14,"papillose","rare","spring to summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Barbula convoluta","","9","5","","5","7",5,1,1,1,1,8,"O","erect",0.7,"turf","c","",0,0,0,"Dioicous","","3","erect",1,9,"flat","occasional","spring to summer",1,0,0,0,0
"Bryophyta","Pottiaceae","Barbula crocea","M2.2","4","1","3","7","9",NA,1,1,0,0,2,"O","erect",10,"turf","c","",0,0,0,"Dioicous","","","erect",1,10.5,"flat","","",1,0,0,0,0
"Bryophyta","Pottiaceae","Barbula enderesii","M2.1","7","3","5","5","9",NA,1,1,0,0,3,"O","erect",0.7,"turf","c","",0,0,0,"Dioicous","","","erect",1,NA,"","","",1,0,0,0,0
"Bryophyta","Pottiaceae","Barbula unguiculata","M2.2","7","Ind","5","2","7",5,1,1,0,0,6,"O","erect",1.35,"turf","c","",0,0,0,"Dioicous","","3","erect",1,12,"papillose","frequent","summer to spring",1,0,0,0,0
"Bryophyta","Pottiaceae","Bryoerythrophyllum ferruginascens","M2.2","Ind","Ind","Ind","Ind","Ind",2,1,1,0,0,4,"O","procumbent",2.5,"turf","c","",0,0,0,"Dioicous","","","",1,13.5,"","","",1,0,0,0,0
"Bryophyta","Pottiaceae","Bryoerythrophyllum recurvirostrum","M2.1","Ind","Ind","Ind","Ind","Ind",4,1,1,1,1,4,"O","erect",5,"turf","c","",0,1,0,"Monoicous","Synoicous or paroicous","3","erect to inclined",1,17,"papillose","frequent to common","autumn to spring",1,0,0,0,0
"Bryophyta","Pottiaceae","Desmatodon latifolius","","9","1","7","2","7",NA,1,0,0,0,3,"O","erect",1,"cushion","s","",0,NA,0,"Monoicous","Autoicous","3","erect",1,23,"","common","summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Dialytrichia mucronata","M2.1","8","8","4","6","7",5,0,1,0,1,5,"P","floating",2,"turf","c","",0,0,0,"Dioicous","","2","erect",1,15,"","occasional","spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Didymodon fallax","M2.1","8","Ind","6","2","7",3,1,1,0,0,6,"O","erect",2.5,"turf","c","",0,0,0,"Dioicous","","2","inclined",1,14,"flat","occasional","autumn to spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Didymodon ferrugineus","M2.2","Ind","Ind","Ind","Ind","Ind",3,1,1,0,0,6,"O","erect",5.8,"turf","c","",0,0,0,"Dioicous","","2","inclined",1,8.5,"flat","very rare","winter to spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Didymodon glaucus","M2.1","1","6","4","6","9",2,0,1,0,0,3,"O","erect",15,"turf","c","",0,0,0,"Dioicous","","","inclined",1,NA,"","","",0,1,0,0,0
"Bryophyta","Pottiaceae","Didymodon nicholsonii","M2.2","8","8","5","8","6",4,1,1,0,0,5,"O","erect",7.5,"turf","c","",0,0,0,"Dioicous","","","inclined",1,11.5,"flat","rare","",1,0,0,0,0
"Bryophyta","Pottiaceae","Didymodon rigidulus","M2.1","Ind","Ind","Ind","Ind","Ind",4,1,1,0,0,4,"O","erect",0.65,"cushion","c","",0,0,0,"Dioicous","","3","erect to inclined",1,11,"flat","occasional","autumn to spring",0,1,0,0,0
"Bryophyta","Pottiaceae","Didymodon sinuosus","M2.1","6","6","4","5","Ind",5,0,1,0,0,5,"O","erect",3,"turf","c","",0,0,0,"Dioicous","","2","inclined",1,12,"","","spring to summer",0,0,0,0,1
"Bryophyta","Pottiaceae","Didymodon spadiceus","M2.1","5","3","5","7","7",4,0,1,0,0,3,"O","erect",2,"turf","c","",0,0,0,"Dioicous","","","inclined",1,13,"","occasional","winter",0,0,0,0,0
"Bryophyta","Pottiaceae","Didymodon tophaceus","M2.2","7","Ind","5","7","7",4,1,1,0,0,6,"O","erect",0.6,"turf","c","",0,0,0,"Dioicous","","2","inclined",1,14,"flat","frequent","spring to winter",1,1,0,0,0
"Bryophyta","Pottiaceae","Didymodon vinealis var. flaccidus","M2.2","7","5","4","5","7",4,1,1,0,0,6,"O","erect",5,"turf","c","",0,0,0,"Dioicous","","2","inclined",1,11.5,"flat","rare","spring to summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Eucladium verticillatum","M2.1","5","7","5","7","9",3,1,1,0,0,3,"O","procumbent",15,"turf","s","p",0,0,0,"Dioicous","","","erect",1,13,"flat","rare","",0,0,0,0,0
"Bryophyta","Pottiaceae","Geheebia gigantea","M2.2","8","2","7","8","8",NA,1,1,0,0,3,"O","erect",20,"turf","p","",0,0,0,"Dioicous","","","erect",1,NA,"","","",0,0,0,0,0
"Bryophyta","Pottiaceae","Gymnostomum aeruginosum","M2.1","4","3","6","7","6",2,0,1,0,0,3,"O","erect",0.65,"turf","c","p",0,0,0,"Dioicous","","3","erect",1,11,"papillose","occasional","summer to autumn",0,0,0,0,0
"Bryophyta","Pottiaceae","Gymnostomum calcareum","M1.1","4","7","5","5","9",2,0,1,0,0,3,"O","procumbent",4,"turf","c","",0,0,0,"Dioicous","","2","erect",1,10,"flat","rare","summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Gyroweisia tenuis","M2.1","3","6","4","6","7",4,0,1,0,0,6,"O","procumbent",4,"turf","c","",0,0,0,"Dioicous","","2","erect",1,9,"papillose","occasional","spring to summer",1,0,0,0,0
"Bryophyta","Pottiaceae","Hymenostylium recurvirostrum","M2.1","4","2","6","8","9",2,0,1,0,0,3,"O","erect",10,"turf","c","",0,0,0,"Dioicous","","2","erect",1,19,"papillose","occasional","spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Leptobarbula berica","M2.1","8","8","4","2","9",4,0,1,0,0,6,"O","erect",1.5,"turf","c","",0,0,0,"Dioicous","","2","erect",1,8.5,"flat","rare","",1,0,0,0,0
"Bryophyta","Pottiaceae","Leptodontium flexifolium","M2.2","8","5","2","3","1",2,1,0,1,0,5,"O","erect",3,"turf","c","",0,NA,0,"Dioicous","","2","erect",1,13,"","occasional","winter to spring",0,1,0,1,0
"Bryophyta","Pottiaceae","Oxystegus tenuirostris","M1.1","Ind","Ind","Ind","Ind","Ind",2,1,1,0,1,3,"O","erect",7,"turf","c","p",0,0,0,"Dioicous","","3","erect",1,17,"papillose","very rare","spring to summer",1,0,0,0,0
"Bryophyta","Pottiaceae","Phascum cuspidatum","","","","","","",6,1,0,1,1,8,"O","erect",0.15,"turf","a","",0,0,0,"Monoicous","Synoicous or paroicous","1","erect to inclined",1,33.5,"papillose","common","autumn to spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Pottia truncata","","","","","","",6,1,1,1,1,7,"O","erect",1,"turf","a","",0,0,0,"Monoicous","Autoicous","2","erect to inclined",1,30,"papillose","common","spring to winter",1,0,0,0,0
"Bryophyta","Pottiaceae","Tortella bambergeri","M1.2","9","7","5","2","8",2,0,1,0,0,2,"O","erect",1.5,"turf","c","",0,0,0,"Dioicous","","3","erect",1,11.5,"papillose","rare","spring to summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Tortella densa","M2.2","9","2","6","3","8",2,1,1,0,0,3,"O","erect",2.5,"turf","c","",0,0,0,"Dioicous","","2","erect",1,10,"","","spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Tortella humilis","M2.1","5","8","5","3","7",NA,1,1,1,0,3,"O","erect",1,"turf","c","",0,0,0,"Monoicous","Autoicous","2","erect",1,10,"papillose","common","spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Tortella tortuosa","M1.1","5","Ind","6","4","8",2,1,1,1,1,3,"O","erect",4.5,"turf","p","s",0,0,0,"Dioicous","","2","erect",1,23,"papillose","rare","summer",0,0,0,0,1
"Bryophyta","Pottiaceae","Tortula latifolia","M2.2","7","6","4","5","7",6,0,1,1,1,6,"O","erect",3,"turf","c","",0,0,0,"Dioicous","","2","erect",1,11,"flat","rare","spring",0,1,0,0,0
"Bryophyta","Pottiaceae","Tortula mucronifolia","M1.2","5","2","6","5","7",NA,1,0,0,0,3,"O","erect",2,"turf","c","",0,0,0,"Monoicous","Autoicous","2","erect",1,17,"papillose","common","summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Tortula muralis","M2.2","Ind","Ind","Ind","Ind","Ind",5,1,1,1,1,6,"O","erect",1,"turf","c","",0,1,0,"Monoicous","Autoicous","2","erect",1,10,"flat","common","spring to summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Tortula muralis var. aestiva","M2.1","3","6","5","5","7",NA,0,1,0,0,6,"O","erect",1,"turf","c","",0,NA,0,"Monoicous","Autoicous","2","erect",1,10.5,"","common","summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Tortula obtusifolia","M1.1","5","3","7","5","7",NA,0,1,0,0,5,"O","erect",0.5,"cushion","c","",0,NA,0,"Monoicous","Autoicous","2","erect",1,10,"","common","spring to autumn",0,0,0,0,0
"Bryophyta","Pottiaceae","Tortula papillosa","M2.2","8","6","4","3","6",5,0,1,0,1,6,"O","erect",0.6,"turf","c","",0,1,0,"Dioicous","","3","erect",1,19,"","","",0,1,0,0,0
"Bryophyta","Pottiaceae","Tortula ruralis","M2.2","9","Ind","5","2","6",4,1,1,0,0,3,"O","erect",4.5,"cushion","c","",0,1,0,"Dioicous","","2","erect",1,11,"grained","rare","spring to summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Tortula subulata","M2.1","Ind","Ind","Ind","Ind","Ind",3,1,1,0,0,6,"O","erect",1.5,"turf","c","",0,0,0,"Monoicous","Autoicous","3","erect",1,19,"grained","common","summer",0,0,0,0,0
"Bryophyta","Pottiaceae","Trichostomum brachydontium","M2.1","Ind","Ind","Ind","Ind","Ind",3,1,1,0,0,3,"O","erect",2.25,"turf","p","s",0,0,0,"Dioicous","","2","erect to inclined",1,16,"papillose","rare","spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Trichostomum crispulum","M2.1","Ind","Ind","Ind","Ind","Ind",3,1,1,0,0,3,"O","erect",1.75,"turf","c","",0,0,0,"Dioicous","","2","erect to inclined",1,17,"papillose","rare","spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Weissia controversa","M2.1","Ind","Ind","Ind","Ind","Ind",3,1,1,0,0,5,"O","erect",0.65,"turf","c","",0,0,0,"Monoicous","Autoicous","2","erect",1,18,"papillose","common","winter to spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Weissia longifolia var. longifolia","M2.2","8","5","5","5","7",4,1,0,0,0,6,"O","erect",0.75,"turf","s","",0,0,0,"Monoicous","Autoicous","1","erect",0,18,"papillose","common","winter to spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Weissia rostellata","M2.2","7","6","4","7","5",5,1,0,0,0,5,"O","erect",0.5,"turf","s","",0,0,0,"Monoicous","Autoicous","1","erect",0,24.5,"papillose","common","winter to spring",0,0,0,0,0
"Bryophyta","Pottiaceae","Weissia rutilans","M1.2","8","5","4","6","5",4,1,0,0,0,6,"O","erect",1,"turf","s","",0,0,0,"Monoicous","Autoicous","2","erect",1,25,"papillose","common","autumn to spring",0,0,0,0,0
"Bryophyta","Pterigynandraceae","Pterigynandrum filiforme","M1.1","6","2","6","5","4",2,0,1,0,1,2,"P","procumbent to ascending",1.5,"mat","p","s",0,0,0,"Dioicous","","3","erect",1,12,"papillose","very rare","summer",0,1,0,1,0
"Bryophyta","Ptychomitriaceae","Campylostelium saxicola","M1.1","3","7","3","6","1",2,0,1,0,0,2,"O","erect",0.15,"turf","c","p",0,0,0,"Monoicous","Autoicous","1","erect",1,8.5,"","common","winter",0,0,0,0,0
"Bryophyta","Rhabdoweisiaceae","Rhabdoweisia crenulata","M1.1","4","4","3","7","2",2,0,1,0,0,2,"O","erect",3,"cushion","c","",0,0,0,"Monoicous","Autoicous","2","erect",1,21,"papillose","common","summer",0,0,0,0,0
"Bryophyta","Rhabdoweisiaceae","Rhabdoweisia crispata","M1.1","4","3","4","6","3",2,0,1,0,0,2,"O","erect",2,"turf","c","",0,0,0,"Monoicous","Autoicous","2","erect",1,19,"papillose","frequent","spring to winter",0,0,0,0,0
"Bryophyta","Rhabdoweisiaceae","Rhabdoweisia fugax","M1.1","4","2","6","5","2",2,1,1,0,0,2,"O","erect",0.75,"turf","c","",0,0,0,"Monoicous","Autoicous","2","erect",1,17.5,"papillose","common","spring to winter",0,0,0,0,0
"Bryophyta","Schistostegaceae","Schistostega pennata","M1.1","1","3","4","6","1",4,1,1,0,0,3,"O","erect",1.5,"turf","c","",1,0,0,"Dioicous","","2","erect",1,10,"flat","occasional","spring to summer",0,0,0,0,0
"Bryophyta","Seligeriaceae","Blindia acuta","M2.1","4","2","6","8","5",1,1,1,0,0,3,"O","erect",0.75,"turf","c","p",0,0,0,"Dioicous","","2","erect to inclined",1,19,"flat","frequent","summer",0,0,0,0,0
"Bryophyta","Seligeriaceae","Brachydontium trichodes","M1.1","2","4","4","6","3",2,0,1,0,0,3,"O","erect",0.15,"turf","c","",0,0,0,"Monoicous","Autoicous","2","erect to inclined",1,11,"flat","common","autumn",0,0,0,0,0
"Bryophyta","Seligeriaceae","Seligeria acutifolia","M1.1","3","5","5","5","9",2,0,1,0,0,2,"O","erect",1,"turf","c","",0,NA,0,"Monoicous","Autoicous","1","erect",1,13,"","common","spring to summer",0,0,0,0,0
"Bryophyta","Seligeriaceae","Seligeria alpestris","M2.1","3","3","5","7","9",3,0,1,0,0,2,"O","erect",1,"turf","c","",0,0,0,"Monoicous","Autoicous","2","erect",1,19,"papillose","occasional","summer",0,0,0,0,0
"Bryophyta","Seligeriaceae","Seligeria calcarea","M2.2","3","4","4","7","9",3,0,1,0,0,4,"O","erect",1,"turf","c","",0,0,0,"Monoicous","Autoicous","2","erect",1,16,"papillose","common","summer",0,0,0,0,0
"Bryophyta","Seligeriaceae","Seligeria campylopoda","M1.2","Ind","Ind","Ind","Ind","Ind",4,0,1,0,0,2,"O","erect",1,"turf","c","",0,0,0,"Monoicous","Autoicous","1","erect",1,9,"flat","common","spring",0,0,0,0,0
"Bryophyta","Seligeriaceae","Seligeria donniana","M1.1","2","3","6","5","7",2,0,1,0,0,3,"O","erect",0.2,"turf","c","",0,0,0,"Monoicous","Autoicous","1","inclined",1,12,"","common","summer",0,0,0,0,0
"Bryophyta","Seligeriaceae","Seligeria pusilla","M1.1","3","4","6","5","9",2,0,1,0,0,4,"O","erect",1,"turf","c","",0,0,0,"Monoicous","Autoicous","1 \ 2","erect",1,11,"papillose","common","spring to summer",0,0,0,0,0
"Bryophyta","Seligeriaceae","Seligeria recurvata","M1.2","3","3","6","6","7",2,0,1,0,0,4,"O","erect",0.2,"turf","c","",0,0,0,"Monoicous","Autoicous","1","erect to inclined",1,9,"papillose","common","spring",0,0,0,0,0
"Bryophyta","Seligeriaceae","Seligeria trifaria","M1.1","3","4","4","7","9",NA,0,1,0,0,4,"O","erect",0.4,"turf","s","",0,0,0,"Monoicous","Autoicous","2","erect",1,28,"papillose","occasional","summer",0,0,0,0,0
"Bryophyta","Sematophyllaceae","Brotherella lorentziana","M1.1","3","5","7","6","6",NA,1,0,0,0,2,"P","procumbent",10,"turf","p","",0,0,0,"Dioicous","","","",1,NA,"","very rare","winter",NA,NA,NA,NA,NA
"Bryophyta","Sematophyllaceae","Heterophyllium affine","M1.1","4","6","7","6","3",NA,0,0,1,0,2,"P","procumbent",7.5,"turf","p","",0,0,0,"Dioicous","","2","inclined",1,15.5,"","","autumn",0,0,0,0,0
"Bryophyta","Sematophyllaceae","Sematophyllum demissum","M1.1","5","5","2","6","1",2,0,1,0,0,2,"P","procumbent",1,"mat","c","",0,0,0,"Monoicous","Autoicous","2","inclined",1,15,"","common","autumn",0,0,0,0,0
"Bryophyta","Sematophyllaceae","Sematophyllum micans","M1.1","5","6","2","7","1",2,0,1,0,0,1,"P","procumbent",4,"mat","c","",0,0,0,"Dioicous","","2","inclined",1,13,"","rare","winter",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum angustifolium","M2.1","7","3","6","7","2",2,1,0,0,0,3,"O","erect",20,"mat","l","",0,0,1,"Dioicous","","0","erect",1,28.5,"papillose","occasional","autumn",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum balticum","","","","","","",1,0,0,0,1,3,"O","erect",15,"mat","l","",0,0,1,"Dioicous","","0","erect",1,27,"flat","","",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum capillifolium","M2.1","Ind","Ind","Ind","Ind","Ind",1,1,1,1,0,3,"O","erect",15,"cushion","l","",0,NA,1,"Dioicous","","0","erect",1,25.5,"flat","frequent","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum capillifolium var. tenerum","M2.1","9","2","6","8","2",NA,1,0,1,0,NA,"O","erect",10,"cushion","","",0,NA,NA,"Dioicous","","0","erect",1,23.5,"","","",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum centrale","M2.1","6","3","Ind","7","1",2,1,0,0,0,2,"O","erect",25,"turf","l","",0,0,0,"Dioicous","","0","erect",1,29,"flat","occasional","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum compactum","M2.2","8","3","6","7","2",1,1,0,0,0,3,"O","erect",10,"turf","l","",0,0,0,"Monoicous","Autoicous","0","erect",1,32.5,"papillose","frequent","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum contortum","M2.1","8","3","6","8","2",2,1,0,0,0,2,"O","erect",15,"mat","l","",0,0,0,"Dioicous","","0","erect",1,25.5,"papillose","rare","",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum cuspidatum","M2.2","9","3","6","8","1",2,1,0,0,0,3,"O","erect",8,"weft","l","",0,0,1,"Dioicous","","0","erect",1,34.5,"papillose","occasional","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum denticulatum","M2.1","7","3","4","8","4",2,1,1,0,0,3,"O","erect",20,"mat","l","",0,0,1,"Dioicous","","0","erect",1,31,"papillose","occasional","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum denticulatum var. inundatum","M2.1","7","3","4","8","4",2,1,1,0,0,3,"O","erect",20,"turf","l","",0,NA,0,"Dioicous","","0","erect",1,32.5,"","occasional","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum fallax","M2.1","7","3","6","7","2",3,1,0,0,0,4,"O","erect",20,"turf","l","",0,0,1,"Dioicous","","0","erect",1,28.5,"papillose","occasional","autumn",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum fimbriatum","M2.1","5","3","6","7","2",3,1,0,0,0,3,"O","erect",20,"turf","l","",0,0,0,"Monoicous","Autoicous","0","erect",1,26.5,"flat","common","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum flexuosum","M2.1","7","3","6","7","3",3,1,0,0,0,3,"O","erect",20,"turf","l","",0,0,1,"Dioicous","","0","erect",1,28.5,"papillose","occasional","autumn",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum fuscum","M2.2","9","2","7","6","1",1,1,0,0,0,3,"O","erect",15,"cushion","l","",0,0,1,"Dioicous","","0","erect",1,25.5,"papillose","rare","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum girgensohnii","M1.1","4","2","6","7","1",2,1,1,1,0,3,"O","erect",20,"turf","l","",0,0,0,"Dioicous","","0","erect",1,23.5,"papillose","rare","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum magellanicum","M2.2","9","3","6","6","1",1,1,0,0,0,3,"O","erect",20,"cushion","l","",0,0,1,"Dioicous","","0","erect",1,28,"papillose","rare","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum majus","M2.2","6","3","6","8","1",2,1,0,0,0,2,"O","erect",25,"weft","l","",0,0,0,"Dioicous","","0","erect",1,32.5,"papillose","very rare","",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum molle","M2.2","8","5","4","6","2",1,1,0,0,0,3,"O","erect",20,"turf","l","",0,NA,0,"Dioicous or Monoicous","Autoicous","0","erect",1,30,"","common","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum obtusum","M2.1","9","2","6","8","2",3,1,0,0,0,2,"O","erect",20,"turf","l","",0,0,0,"Dioicous","","0","erect",1,28.5,"papillose","occasional","autumn",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum palustre","M2.1","6","4","6","6","2",2,1,0,0,0,3,"O","erect",25,"turf","l","",0,0,0,"Dioicous","","0","erect",1,29,"flat","occasional","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum papillosum","M2.2","9","2","4","6","1",1,1,0,0,0,3,"O","erect",20,"cushion","l","",0,0,1,"Dioicous","","0","erect",1,28.5,"papillose","occasional","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum quinquefarium","M1.1","4","3","4","6","4",2,1,1,0,0,3,"O","erect",20,"turf","l","",0,0,0,"Monoicous","Autoicous","0","erect",1,23.5,"papillose","occasional","summer to autumn",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum riparium","M2.1","6","2","6","8","2",2,1,0,0,0,3,"O","erect",25,"turf","l","",0,0,0,"Dioicous","","0","erect",1,26,"papillose","very rare","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum rubellum","M2.2","9","3","Ind","7","1",1,1,0,0,0,3,"O","erect",15,"cushion","l","",0,0,0,"Dioicous","","0","erect",1,25.5,"","rare","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum russowii","M2.1","6","2","6","6","2",2,1,0,0,0,3,"O","erect",20,"turf","l","",0,0,0,"Dioicous","","0","erect",1,25.5,"grained","rare","summer",0,0,0,0,0
"Bryophyta","Sphagnaceae","Sphagnum squarrosum","M1.1","5","Ind","5","7","3",3,1,0,0,0,3,"O","erect",20,"turf","l","",0,0,0,"Monoicous","Autoicous","0","erect",1,28.5,"grained","common","summer",0,0,0,0,0
